train/entropy_loss,rollout/ep_len_mean,train/policy_loss,time/iterations,time/fps,time/total_timesteps,time/time_elapsed,train/std,train/value_loss,train/learning_rate,rollout/ep_rew_mean,train/explained_variance,train/n_updates
-12.875717163085938,32.92857142857143,-380195.8125,100,417,2000,4,1.0118004083633423,1993689728.0,0.0007,-338633.1365880535,1.1920928955078125e-07,99
-12.855905532836914,38.79,-224014.875,200,428,4000,9,1.0097978115081787,443647328.0,0.0007,-397175.22988775006,0.0,199
-12.836565017700195,36.82,-402017.59375,300,422,6000,14,1.0074833631515503,2164557568.0,0.0007,-349220.79035476,-1.1920928955078125e-07,299
-12.83141803741455,26.65,-223505.953125,400,423,8000,18,1.0070520639419556,487319712.0,0.0007,-227901.90018969,-1.1920928955078125e-07,399
-12.8263578414917,28.19,-228707.609375,500,421,10000,23,1.005749225616455,451750464.0,0.0007,-242678.80776081997,0.0,499
-12.841842651367188,26.45,-283028.71875,600,418,12000,28,1.008015751838684,1346965120.0,0.0007,-208171.78140756,0.0,599
-12.848822593688965,22.13,-279688.96875,700,421,14000,33,1.00887131690979,1448540544.0,0.0007,-189597.49963120001,0.0,699
-12.841961860656738,23.84,-560715.5625,800,422,16000,37,1.008125901222229,3351979264.0,0.0007,-203988.51172540002,0.0,799
-12.854962348937988,28.46,-592537.75,900,421,18000,42,1.0096142292022705,3875346176.0,0.0007,-222569.70888501007,5.960464477539063e-08,899
-12.842373847961426,25.62,-266215.25,1000,419,20000,47,1.0079457759857178,1536004736.0,0.0007,-204197.59118211,0.0,999
-12.848193168640137,25.35,-158236.734375,1100,417,22000,52,1.0086067914962769,252687824.0,0.0007,-199420.18152551004,0.0,1099
-12.851086616516113,27.77,-89432.28125,1200,415,24000,57,1.0093621015548706,150979824.0,0.0007,-210793.6490048,0.0,1199
-12.836947441101074,26.2,-490533.8125,1300,416,26000,62,1.0073332786560059,3140069632.0,0.0007,-185977.47199882995,0.0,1299
-12.812678337097168,25.13,397035.40625,1400,415,28000,67,1.0053486824035645,2746033920.0,0.0007,-149388.98222446,1.1920928955078125e-07,1399
-12.830731391906738,26.09,-156319.609375,1500,414,30000,72,1.007236123085022,293221024.0,0.0007,-158696.56275386,1.1920928955078125e-07,1499
-12.818366050720215,22.95,-204178.234375,1600,415,32000,77,1.0057388544082642,554437440.0,0.0007,-172471.18271768998,0.0,1599
-12.79350471496582,27.78,-255595.75,1700,416,34000,81,1.0030258893966675,1815260032.0,0.0007,-190140.00044327002,-1.1920928955078125e-07,1699
-12.812942504882812,23.18,-71951.921875,1800,416,36000,86,1.004918098449707,118956544.0,0.0007,-157546.93045929,-1.1920928955078125e-07,1799
-12.80296802520752,25.48,-504692.0,1900,414,38000,91,1.0041366815567017,3167834368.0,0.0007,-174107.0686796,0.0,1899
-12.805109024047852,29.63,-50267.6328125,2000,414,40000,96,1.0045809745788574,105295496.0,0.0007,-210095.95783720003,1.1920928955078125e-07,1999
-12.828015327453613,31.04,-143008.171875,2100,414,42000,101,1.0072627067565918,248393840.0,0.0007,-194856.93563621,0.0,2099
-12.866774559020996,24.01,-126302.765625,2200,414,44000,106,1.010987639427185,635132864.0,0.0007,-157035.5105072,0.0,2199
-12.889078140258789,21.1,-302612.0,2300,412,46000,111,1.0140187740325928,1666692352.0,0.0007,-138277.53632810002,0.0,2299
-12.925066947937012,26.18,-470316.5,2400,412,48000,116,1.0183088779449463,2512357376.0,0.0007,-160529.31069272998,-1.1920928955078125e-07,2399
-12.958622932434082,29.98,-658658.0,2500,413,50000,120,1.02217698097229,4467287040.0,0.0007,-201982.09586797,0.0,2499
-12.959335327148438,24.8,-269747.3125,2600,413,52000,125,1.0222883224487305,1528717568.0,0.0007,-148041.26266088,0.0,2599
-12.962359428405762,25.81,-269564.34375,2700,409,54000,131,1.022098422050476,1259788544.0,0.0007,-169773.09117957,-1.1920928955078125e-07,2699
-12.997748374938965,27.34,-250462.703125,2800,409,56000,136,1.0262203216552734,1599623424.0,0.0007,-207242.37471811,0.0,2799
-13.02368450164795,20.14,-683743.625,2900,410,58000,141,1.0293127298355103,4563072512.0,0.0007,-136691.1263511,-1.1920928955078125e-07,2899
-13.01999568939209,23.88,-92738.4296875,3000,410,60000,146,1.0288835763931274,292452960.0,0.0007,-151967.75368059997,0.0,2999
-13.087054252624512,22.44,-128253.0234375,3100,410,62000,151,1.0366262197494507,172760336.0,0.0007,-139471.76948617,-1.1920928955078125e-07,3099
-13.133995056152344,23.82,-210133.15625,3200,410,64000,155,1.04185950756073,1582824064.0,0.0007,-139749.15281076002,0.0,3199
-13.172525405883789,19.55,-279014.84375,3300,410,66000,160,1.0463742017745972,940344256.0,0.0007,-136578.20442346,-2.384185791015625e-07,3299
-13.155372619628906,22.0,-337808.5625,3400,409,68000,165,1.0443121194839478,1470894976.0,0.0007,-154557.40112516002,0.0,3399
-13.161303520202637,24.73,-113338.0390625,3500,410,70000,170,1.045230507850647,306052640.0,0.0007,-198447.14228625,0.0,3499
-13.166666030883789,21.89,-113830.1015625,3600,410,72000,175,1.0457172393798828,254526752.0,0.0007,-144981.8822062,0.0,3599
-13.221138000488281,18.7,-388814.78125,3700,409,74000,180,1.0521667003631592,1589558144.0,0.0007,-130758.18159939001,0.0,3699
